Timestamp (us),X (g),Y (g),Z (g)
3323244078,-0.109292,0.099403,0.901474
3323265528,-0.161744,0.101024,0.949582
3323286977,-0.160709,0.147253,0.899400
3323308424,-0.162168,0.053752,0.950296
3323329873,-0.057451,0.098825,0.902834
3323351322,-0.108867,0.146675,0.900760
3323372770,-0.161133,0.099982,0.900114
3323394217,-0.057026,0.146096,0.902120
3323415663,-0.108681,0.098361,0.852007
3323437110,-0.057026,0.146096,0.902120
3323458558,-0.161133,0.099982,0.900114
3323480006,-0.108257,0.145633,0.851293
3323501453,-0.160522,0.098940,0.850647
3323522900,-0.160522,0.098940,0.850647
3323544349,-0.108681,0.098361,0.852007
3323565796,-0.160522,0.098940,0.850647
3323587242,-0.160522,0.098940,0.850647
3323608688,-0.160709,0.147253,0.899400
3323630135,-0.161133,0.099982,0.900114
3323651582,-0.161744,0.101024,0.949582
3323673029,-0.109292,0.099403,0.901474
3323694477,-0.108681,0.098361,0.852007
3323715926,-0.160522,0.098940,0.850647
3323737375,-0.160336,0.050626,0.801893
3323758825,-0.161744,0.101024,0.949582
3323780276,-0.057637,0.147139,0.951588
3323801724,-0.057026,0.146096,0.902120
3323823174,-0.161744,0.101024,0.949582
3323844625,-0.161133,0.099982,0.900114
3323866075,-0.109478,0.147717,0.950228
3323887524,-0.108257,0.145633,0.851293
3323908972,-0.160947,0.051668,0.851361
3323930422,-0.108681,0.098361,0.852007
3323951869,-0.109292,0.099403,0.901474
3323973318,-0.109478,0.147717,0.950228
3323994766,-0.108257,0.145633,0.851293
3324016214,-0.213399,0.053288,0.899468
3324037662,-0.161133,0.099982,0.900114
3324059111,-0.213585,0.101602,0.948221
3324080558,-0.160522,0.098940,0.850647
3324102005,-0.108867,0.146675,0.900760
3324123452,-0.108867,0.146675,0.900760
3324144899,-0.108681,0.098361,0.852007
3324166346,-0.110089,0.148759,0.999695
3324187793,-0.109292,0.099403,0.901474
3324209241,-0.212364,0.099518,0.849286
3324230689,-0.108681,0.098361,0.852007
3324252137,-0.108681,0.098361,0.852007
3324273587,-0.212975,0.100560,0.898754
3324295037,-0.160522,0.098940,0.850647
3324316485,-0.109903,0.100445,0.950942
3324337933,-0.058061,0.099867,0.952302
3324359380,-0.160947,0.051668,0.851361
3324380829,-0.160947,0.051668,0.851361
3324402277,-0.109106,0.051090,0.852721
3324423726,-0.160761,0.003354,0.802607
3324445176,-0.108019,0.241218,0.899332
3324466624,-0.108257,0.145633,0.851293
3324488072,-0.109478,0.147717,0.950228
3324509521,-0.109054,0.194988,0.949513
3324530970,-0.161744,0.101024,0.949582
3324552418,-0.160098,0.146211,0.849932
3324573867,-0.108867,0.146675,0.900760
3324595315,-0.109292,0.099403,0.901474
3324616763,-0.056415,0.145054,0.852653
3324638210,-0.108867,0.146675,0.900760
3324659657,-0.161133,0.099982,0.900114
3324681105,-0.107832,0.192904,0.850578
3324702553,-0.058061,0.099867,0.952302
3324723999,-0.057637,0.147139,0.951588
3324745448,-0.063455,0.397043,1.591095
3324766895,-0.167189,0.254301,1.491582
3324788342,-0.272518,0.210270,1.588511
3324809789,-0.273129,0.211313,1.637979
3324831236,-0.170957,-0.027244,1.594802
3324852685,-0.166258,0.012733,1.247815
3324874133,-0.113805,0.011113,1.199708
3324895579,0.044824,0.148066,1.053244
3324917026,0.051170,0.233230,0.606607
3324938475,0.154190,0.089217,0.562002
3324959922,-0.000909,0.138224,0.557208
3324981370,0.263981,0.077640,0.070047
3325002819,0.265440,0.171141,0.019151
3325024267,0.472806,0.168827,0.024592
3325045716,0.577523,0.213900,-0.022869
3325067164,0.578559,0.260130,-0.073051
3325088611,0.577710,0.165587,-0.071623
3325110060,0.682428,0.210659,-0.119084
3325131508,0.787570,0.303004,-0.167259
3325152957,0.735491,0.207997,-0.216659
3325174406,0.632181,0.112526,-0.316886
3325195856,0.690368,0.197112,-0.762162
3325217305,0.795272,0.193872,-0.858377
3325238753,0.844059,0.198504,-0.609679
3325260202,0.740563,0.151347,-0.661153
3325281650,0.743669,0.290035,-0.811698
3325303099,0.796359,0.384000,-0.811766
3325324546,0.740190,0.247974,-0.563646
3325345995,0.685244,0.109864,-0.414461
3325367444,0.632605,0.159798,-0.317600
3325388894,0.579118,0.115189,-0.219311
3325410343,0.475062,0.212973,-0.124525
3325431792,0.318503,0.168478,-0.078424
3325453242,0.210918,0.080302,0.167622
3325474691,0.261827,0.321292,0.412749
3325496141,0.311277,0.468781,0.708772
3325517590,0.359030,0.427183,1.007652
3325539039,0.253038,0.240296,1.057256
3325560488,0.202181,0.143205,0.908921
3325581939,0.205100,0.330207,0.807129
3325603389,0.203267,0.333333,0.955532
3325624840,0.149542,0.193139,1.005782
3325646291,-0.109106,0.051090,0.852721
3325667741,-0.109716,0.052132,0.902188
3325689190,0.097514,0.242031,1.053175
3325710640,0.097753,0.337616,1.101215
3325732089,-0.109851,0.244344,1.047734
3325753539,-0.164001,0.056878,1.098699
3325774988,-0.009222,0.248398,1.297793
3325796436,-0.062896,0.252102,1.444835
3325817885,-0.167189,0.254301,1.491582
3325839335,-0.159674,0.193483,0.849218
3325860782,-0.057637,0.147139,0.951588
3325882230,-0.161133,0.099982,0.900114
3325903679,-0.162117,0.197651,1.047089
3325925126,-0.164984,0.154548,1.245673
3325946574,-0.117605,0.209578,1.642059
3325968021,-0.222136,0.116191,1.640767
3325989470,-0.116383,0.207493,1.543124
3326010920,-0.010868,0.203211,1.397442
3326032370,-0.114789,0.108782,1.346682
3326053821,-0.057823,0.195452,1.000341
3326075273,0.049100,0.140772,0.706970
3326096724,0.203029,0.237748,0.907493
3326118174,0.255482,0.236128,0.859386
3326139625,0.256041,0.091187,0.713125
3326161075,0.258722,0.182604,0.563294
3326182525,0.312023,0.275526,0.513759
3326203976,0.363864,0.274948,0.515119
3326225426,0.363626,0.179363,0.467080
3326246877,0.367901,0.172068,0.120807
3326268328,0.524274,0.264876,0.123459
3326289778,0.420778,0.217719,0.071985
3326311226,0.264353,-0.018987,-0.027460
3326332676,0.321743,0.114954,-0.374515
3326354125,0.324797,0.109744,-0.621853
3326375573,0.430074,0.009876,-0.815574
3326397023,0.377570,-0.132402,-0.864259
3326418472,0.485156,-0.044226,-1.110305
3326439921,0.540103,0.093883,-1.259490
3326461371,0.748928,0.185071,-1.304945
3326482819,0.853459,0.278458,-1.303653
3326504268,0.696476,0.186692,-1.256838
3326525715,0.642802,0.190396,-1.109795
3326547165,0.589366,0.289686,-0.914714
3326568616,0.430550,0.201046,-0.719496
3326590066,0.321743,0.114954,-0.374515
3326611516,0.213309,-0.067765,-0.127041
3326632967,0.156023,0.086091,0.413600
3326654418,0.254633,0.141585,0.860814
3326675868,0.509191,0.242615,1.311395
3326697318,0.613723,0.336001,1.312687
3326718769,0.567989,0.326159,0.816651
3326740219,0.366121,0.319093,0.366002
3326761671,0.152969,0.091301,0.660937
3326783121,0.197853,0.006601,1.158402
3326804571,0.149118,0.145867,1.006496
3326826021,0.208392,0.420581,0.607831
3326847470,-0.055194,0.142970,0.753718
3326868920,0.038613,-0.129310,1.354334
3326890369,-0.063237,-0.131280,1.203211
3326911819,-0.112398,-0.039285,1.052020
3326933267,-0.164850,-0.037665,1.100127
3326954716,-0.008849,0.151771,1.200286
3326976166,-0.059894,0.102993,1.100705
3326997616,-0.109716,0.052132,0.902188
3327019067,-0.108681,0.098361,0.852007
3327040516,-0.003963,0.143434,0.804545
3327061965,-0.056788,0.241682,0.950159
3327083414,-0.057212,0.194410,0.950874
3327104862,-0.111124,0.102530,1.049877
3327126311,-0.064407,0.014703,1.398938
3327147759,-0.218047,0.157210,1.343248
3327169207,-0.161320,0.148295,0.948867
3327190656,-0.108257,0.145633,0.851293
3327212104,-0.108867,0.146675,0.900760
3327233553,-0.160709,0.147253,0.899400
3327255002,-0.161320,0.148295,0.948867
3327276452,-0.162727,0.198693,1.096556
3327297901,-0.216826,0.155126,1.244313
3327319350,-0.269278,0.156746,1.292420
3327340799,-0.217012,0.203440,1.293066
3327362248,-0.215977,0.249669,1.242884
3327383696,-0.061250,0.297290,1.345186
3327405146,-0.062047,0.346645,1.443407
3327426595,-0.005930,0.338773,1.098494
3327448043,0.151053,0.430539,1.051679
3327469493,0.151240,0.382225,1.002925
3327490942,0.205152,0.474106,0.903922
3327512391,0.154904,0.375972,0.706120
3327533841,0.154666,0.280387,0.658081
3327555289,0.206321,0.328123,0.708194
3327576737,0.314942,0.462528,0.411967
3327598186,0.210224,0.417455,0.459428
3327619636,0.260844,0.418961,0.559723
3327641086,0.260419,0.371690,0.560438
3327662536,0.210410,0.369142,0.410675
