Timestamp (us),W,X,Y,Z
3323234609,-0.091804,-0.018580,0.016178,0.995594
3323254667,-0.091782,-0.018553,0.016166,0.995597
3323274726,-0.091743,-0.018540,0.016134,0.995602
3323294783,-0.091692,-0.018544,0.016134,0.995606
3323314841,-0.091684,-0.018545,0.016112,0.995607
3323334899,-0.091649,-0.018539,0.016125,0.995610
3323354959,-0.091598,-0.018527,0.016160,0.995615
3323375017,-0.091563,-0.018535,0.016177,0.995618
3323395078,-0.091526,-0.018549,0.016198,0.995620
3323415133,-0.091495,-0.018543,0.016184,0.995624
3323435190,-0.091472,-0.018522,0.016164,0.995626
3323455248,-0.091504,-0.018504,0.016171,0.995623
3323475307,-0.091558,-0.018517,0.016174,0.995618
3323495365,-0.091598,-0.018531,0.016206,0.995614
3323515423,-0.091665,-0.018509,0.016198,0.995608
3323535481,-0.091700,-0.018526,0.016214,0.995604
3323555541,-0.091687,-0.018543,0.016232,0.995605
3323575598,-0.091665,-0.018544,0.016261,0.995607
3323595657,-0.091666,-0.018513,0.016273,0.995607
3323615715,-0.091729,-0.018513,0.016258,0.995601
3323635772,-0.091773,-0.018525,0.016274,0.995597
3323655830,-0.091754,-0.018513,0.016284,0.995599
3323675888,-0.091729,-0.018497,0.016279,0.995601
3323695946,-0.091701,-0.018505,0.016302,0.995603
3323716004,-0.091663,-0.018490,0.016297,0.995607
3323736062,-0.091639,-0.018508,0.016280,0.995609
3323756122,-0.091613,-0.018522,0.016290,0.995611
3323776180,-0.091593,-0.018527,0.016295,0.995613
3323796238,-0.091566,-0.018525,0.016299,0.995615
3323816297,-0.091545,-0.018538,0.016325,0.995617
3323836353,-0.091558,-0.018537,0.016313,0.995616
3323856412,-0.091645,-0.018534,0.016315,0.995608
3323876470,-0.091701,-0.018539,0.016298,0.995603
3323896528,-0.091694,-0.018546,0.016299,0.995603
3323916586,-0.091669,-0.018549,0.016286,0.995606
3323936645,-0.091658,-0.018541,0.016280,0.995607
3323956704,-0.091643,-0.018539,0.016254,0.995609
3323976762,-0.091649,-0.018539,0.016213,0.995609
3323996820,-0.091637,-0.018533,0.016173,0.995611
3324016877,-0.091602,-0.018534,0.016161,0.995614
3324036935,-0.091602,-0.018539,0.016164,0.995614
3324056993,-0.091645,-0.018495,0.016149,0.995611
3324077051,-0.091700,-0.018497,0.016161,0.995606
3324097109,-0.091668,-0.018522,0.016157,0.995608
3324117168,-0.091648,-0.018523,0.016136,0.995611
3324137227,-0.091672,-0.018521,0.016133,0.995608
3324157285,-0.091702,-0.018500,0.016115,0.995606
3324177344,-0.091751,-0.018492,0.016118,0.995602
