Timestamp (us),Percentage (%),Voltage (V),Charging Status
5085537450,83.405258,3.834053,1.000000
5086537988,83.417336,3.834173,1.000000
5087538526,83.385117,3.833851,1.000000
5088539063,83.371010,3.833710,1.000000
5089539600,83.385117,3.833851,1.000000
5090540139,83.393173,3.833932,1.000000
5091540676,83.399216,3.833992,1.000000
5092541214,83.419357,3.834193,1.000000
5093541751,83.433449,3.834335,1.000000
5094542289,83.435471,3.834355,1.000000
5095542826,83.473740,3.834737,1.000000
5096543365,83.493889,3.834939,1.000000
