Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
89266164365,0.122010,0.014801,-0.028974,-0.023846,-0.018444,1.000156
89266184421,0.305029,0.098943,0.016987,-0.026334,-0.023480,0.996425
89266204477,-0.335861,-0.070712,0.009471,-0.027599,-0.021339,1.001212
89266224535,0.175505,-0.030831,-0.029348,-0.027181,-0.023791,0.992673
89266244592,-0.152878,0.028585,0.070782,-0.026173,-0.021467,0.997683
89266264648,0.175275,0.083151,0.040010,-0.025595,-0.023851,0.995805
89266284717,-0.358708,-0.047248,-0.081894,-0.024102,-0.020909,0.999084
89266304760,0.206083,-0.053529,-0.044800,-0.024827,-0.021875,0.993517
89266324817,-0.206206,-0.040244,0.070457,-0.026280,-0.021730,0.998596
89266344873,0.015247,-0.069655,0.001219,-0.026399,-0.024042,0.994879
89266364929,-0.152944,0.058948,0.093855,-0.027792,-0.023024,0.996484
89266384986,0.122020,-0.031409,0.031777,-0.026545,-0.022190,0.998140
89266405044,-0.068759,-0.047109,0.016765,-0.027064,-0.020842,0.996565
89266425100,0.213326,0.082409,0.162003,-0.026319,-0.020308,0.995569
89266445157,-0.083985,-0.054571,-0.013769,-0.026245,-0.021206,0.996584
89266465212,0.099030,0.075834,-0.036189,-0.026547,-0.021916,0.998228
89266485269,-0.045744,-0.069298,-0.074961,-0.024235,-0.021029,0.996255
89266505324,-0.206246,0.021174,0.017429,-0.025822,-0.019187,0.998485
89266525381,0.053247,-0.001348,0.070230,-0.026239,-0.021483,0.996222
89266545438,-0.152698,-0.031769,-0.028765,-0.027891,-0.022474,0.996932
89266565495,-0.198432,-0.054579,-0.059339,-0.025973,-0.021024,0.996678
89266585552,-0.091760,0.013764,0.032436,-0.027042,-0.022311,0.995213
89266605608,0.091504,-0.031390,0.016574,-0.026643,-0.022731,0.998509
89266625663,-0.107114,0.036187,0.093634,-0.026952,-0.021037,0.995292
89266645720,0.091392,-0.032240,0.138635,-0.026905,-0.020010,0.997927
89266665776,-0.183146,-0.146954,0.062136,-0.028578,-0.021226,0.994534
89266685833,-2.680871,1.104809,0.097141,-0.027800,-0.018802,0.991693
89266705890,-7.267294,0.673332,-0.087999,-0.031753,-0.087870,0.896791
89266725946,37.906288,-0.504197,-2.098702,-0.038211,0.060808,1.181076
89266746004,-42.424057,1.013617,0.228861,-0.016338,-0.017934,0.971192
89266766060,10.182648,-0.358995,-0.316309,-0.030243,-0.084237,0.861751
89266786116,13.617726,-0.654771,-0.270868,-0.020773,0.037652,1.141068
89266806171,-9.555168,-0.715111,0.014435,-0.034882,-0.056827,0.909796
89266826228,8.671698,-0.391819,-0.603707,-0.020360,0.004242,1.057710
89266846284,-6.548107,-0.237372,-0.514449,-0.033269,-0.033584,0.959647
89266866341,3.611525,-0.350324,-0.960581,-0.024342,-0.013161,1.018605
89266886397,-2.464221,-0.345870,-0.797080,-0.023375,-0.019782,0.993885
89266906456,0.481577,-0.371317,-0.321881,-0.069696,0.012886,1.002596
89266926512,-18.414021,-1.106272,14.202827,-0.485684,0.218526,1.026622
89266946568,20.257553,1.435295,13.515802,-0.434563,0.056925,0.665692
89266966623,40.442055,7.890820,-8.857180,0.082598,-0.181668,1.298511
89266986680,-10.319085,-2.766732,-45.367081,0.342847,-0.131274,1.042495
89267006736,-36.498520,-4.512102,-26.799679,0.067199,0.063615,1.057141
89267026792,-35.356861,-0.633459,-21.155390,0.032063,-0.097914,0.914701
89267046849,12.960508,0.853182,-26.397842,0.060176,-0.373529,0.976583
89267066906,-33.419331,-2.191241,-9.259317,0.197369,0.303658,1.038942
89267086963,-18.239000,0.649229,12.031303,0.103144,0.062395,0.995162
89267107019,-14.931309,-9.994043,17.476259,-0.012812,0.012072,1.111856
89267127076,-5.656303,-37.665550,18.183336,-0.095771,-0.123679,1.023329
89267147131,-7.843304,-20.571531,4.070922,0.049969,0.007429,1.115822
89267167188,-10.217602,-11.251229,14.744169,0.315657,-0.064861,1.403473
89267187244,-16.203812,-37.099564,8.211555,0.546367,-0.040933,1.719226
89267207301,-20.800194,-43.655132,28.313025,0.463309,0.195903,1.673986
89267227357,-13.982835,-37.611023,58.434563,0.255689,0.431368,1.418082
89267247415,4.681883,-47.271645,86.836891,0.306541,0.441640,1.422023
89267267472,17.254667,-81.908249,73.267235,0.243830,0.072954,1.573816
89267287528,26.310677,-146.964828,47.693085,0.065103,0.097785,1.623003
89267307583,16.919722,-185.109650,77.428993,0.077537,-0.038707,1.548952
89267327640,60.735847,-174.463028,55.710609,-0.108425,-0.330559,1.441164
89267347696,68.523468,-154.684265,46.967598,-0.289055,-0.454095,1.060961
89267367752,30.310982,-122.510063,49.711948,-0.238847,-0.472835,0.888888
89267387809,28.625904,-125.572281,36.192734,-0.142589,-0.472841,0.895437
89267407865,64.703476,-168.420975,14.863559,-0.154058,-0.513874,0.899692
89267427923,107.186478,-205.035965,-17.966646,-0.226965,-0.655283,0.931823
89267447980,112.933121,-213.488480,-53.244545,-0.220165,-0.691759,1.034430
89267468036,118.408401,-223.142349,-90.345032,-0.030041,-0.644167,1.166996
89267488091,175.104950,-259.442352,-125.334930,0.035543,-0.487446,1.286525
89267508147,206.987274,-310.086121,-145.643707,0.062374,-0.231518,1.057961
89267528204,209.558151,-339.405823,-164.121918,0.091214,-0.036788,0.870890
89267548260,216.114075,-391.409058,-189.138916,0.124828,0.021357,0.818241
89267568317,193.423965,-396.668762,-166.372681,0.151464,0.100380,0.779824
89267588375,175.545929,-429.569305,-153.503296,-0.141323,0.105156,0.413877
89267608431,245.569412,-460.022888,-156.912125,-0.271385,0.114499,-0.077230
89267628487,293.746277,-444.194489,-148.410675,-0.314740,0.215567,-0.369149
89267648542,313.123871,-423.556427,-121.319992,-0.245179,0.145408,-0.336506
89267668599,208.746933,-414.641785,-101.776794,-0.351780,-0.018849,-0.283863
89267688655,148.576370,-394.480927,-97.845757,-0.568188,0.008357,-0.785636
89267708712,144.427475,-350.002747,-96.910728,-0.575983,0.205195,-1.174280
89267728768,156.059860,-305.880310,-92.138199,-0.631106,0.333386,-1.411444
89267748826,126.240898,-246.597443,-79.859612,-0.536943,0.344939,-1.612766
89267768883,59.314732,-165.752365,-54.924545,-0.502239,0.394114,-1.793365
89267788939,-20.284458,-86.512123,-32.646751,-0.371063,0.414117,-1.783008
89267808995,-95.976242,-24.441923,-7.642733,-0.260686,0.405180,-1.733953
89267829051,-103.761284,11.709295,-6.881708,-0.238158,0.413139,-1.762261
89267849107,-91.059586,43.230335,-7.871704,-0.177235,0.572529,-1.823095
89267869163,-124.615952,81.078445,10.431814,-0.123795,0.728424,-1.792448
89267889220,-150.503296,123.413483,31.884542,-0.127222,0.853070,-1.851275
89267909277,-184.899094,183.541168,64.515709,-0.081914,0.923579,-1.841814
89267929334,-247.029831,239.253983,101.747124,-0.019813,0.923223,-1.627286
89267949391,-232.782242,262.887207,125.104126,0.051007,0.880268,-1.251943
89267969447,-241.870682,278.483887,147.835968,0.011312,0.793752,-1.008994
89267989502,-304.906708,304.942200,170.044159,-0.072916,0.643510,-0.900809
89268009559,-382.823578,341.041809,198.837906,-0.097098,0.644062,-0.727590
89268029615,-421.684723,337.780273,223.926422,0.049866,0.611122,-0.362514
89268049672,-333.195343,293.153320,215.286469,0.140095,0.711692,-0.012120
89268069728,-306.292603,278.974884,231.760284,0.127976,0.872625,-0.340150
89268089786,-320.723145,299.588318,270.477173,-0.038404,0.583998,-0.250484
89268109842,-340.960175,320.697418,298.107117,-0.253152,0.179751,0.018804
89268129899,-361.078156,315.687561,295.923035,-0.146282,-0.071160,0.354994
89268149956,-439.192230,301.432770,319.862823,-0.209579,-0.138821,0.198850
89268170010,-479.587463,310.835266,325.111725,-0.337672,-0.130966,-0.007603
89268190067,-450.493347,306.081604,342.409729,-0.376249,-0.629617,0.147821
89268210123,-408.424011,259.050232,302.841187,-0.268467,-0.857910,0.212221
89268230180,-428.665680,221.513885,295.568542,-0.232281,-0.484494,0.093629
89268250236,-372.510895,197.888748,306.393555,-0.378328,-0.316325,-0.125799
89268270294,-195.353836,181.015015,271.680084,-0.892350,-1.147406,-0.478297
89268290351,-253.629547,235.778503,227.679230,-1.026128,-1.492667,-0.351724
89268310407,-293.744934,206.093903,198.129166,-0.758759,-1.183774,0.568420
89268330462,-186.304611,104.681610,156.028763,-0.691770,-0.812612,0.619549
89268350519,-144.595917,55.949284,162.209961,-1.036804,-0.979499,-0.225731
89268370575,-188.104645,103.359154,156.718185,-1.160037,-1.681444,-0.220508
89268390631,-151.458878,92.975403,105.680008,-0.986351,-1.561953,0.390209
89268410688,-107.574493,38.566216,71.037384,-0.895585,-1.202032,0.158312
89268430746,-119.497208,32.834278,80.552544,-0.960396,-1.286524,-0.234748
89268450802,-110.932953,52.917248,56.940849,-1.065785,-1.673620,-0.256409
89268470858,-70.747238,42.859402,15.335541,-0.916988,-1.460066,0.036998
89268490915,-28.203409,8.615309,-12.750248,-0.992132,-1.601757,-0.045205
89268510970,-28.548721,17.040512,-40.353752,-0.994838,-1.515336,-0.248173
89268531027,-10.136196,19.948328,-55.886639,-0.786945,-1.350693,-0.055642
89268551083,38.784451,-13.668099,-80.546928,-0.834796,-1.561946,-0.025000
89268571139,60.006775,-31.154705,-122.789162,-0.866955,-1.576995,-0.136905
89268591196,65.605942,-35.128269,-146.008347,-0.816311,-1.481067,-0.130180
89268611254,128.340668,-52.233383,-162.513367,-0.758825,-1.359892,-0.107645
89268631310,240.318054,-93.654221,-186.899475,-0.685311,-1.317311,-0.080743
89268651367,309.085388,-129.807205,-209.581482,-0.717129,-1.338062,-0.138029
89268671421,301.800476,-133.726486,-232.716202,-0.781886,-1.275392,-0.121424
89268691478,301.537872,-122.656517,-263.111206,-0.727634,-0.926013,-0.076859
89268711534,498.929688,-160.919388,-322.503876,-0.579726,-0.983301,-0.076731
89268731591,674.705505,-208.616089,-358.699951,-0.522711,-0.998146,-0.092646
89268751647,554.151978,-208.589020,-338.472473,-0.343999,-0.670606,0.168220
89268771705,476.419495,-225.624069,-301.954651,-0.174274,-0.414096,0.346243
89268791762,568.567810,-265.763062,-296.086090,-0.179591,-0.261987,0.201148
89268811818,570.967041,-272.344391,-280.376434,-0.164325,-0.084857,0.051235
89268831875,525.688538,-249.832062,-256.286377,-0.026712,0.082229,-0.067812
89268851930,554.614746,-240.513794,-228.145157,0.088640,0.395152,-0.027990
89268871986,571.554932,-255.646301,-191.617599,0.201082,0.383979,0.033444
89268892043,503.406250,-250.999969,-161.286285,0.146070,0.274696,-0.112412
